,Instrument,Original Yield Maturity
826,XS2442768227,0.834
827,XS2441574089,1.235
828,DE000SLB4253,0.345
829,FR00140082Z6,1.728
830,XS2441055998,0.558
831,XS2439004685,1.571
832,XS2439004412,1.092
833,XS2440690456,0.852
834,XS2437455277,0.368
835,FR0014008066,0.215
836,XS2438615606,0.297
837,XS2438616240,0.945
838,XS2413672234,2.582
839,XS2430442868,1.916
840,XS2436160936,0.161
841,DE000MHB29J3,0.218
842,XS2436160779,
843,XS2430951744,0.184
844,XS2435783613,0.209
845,FR0014007VS7,0.489
846,XS2436159847,0.186
847,FR0014007VP3,1.048
848,DE000BHY0GN0,0.412
849,FR0014007VF4,0.467
850,DE000LB2ZSM3,0.209
851,BE0002838192,1.03
852,XS2435570895,0.634
853,XS2432361421,0.991
854,XS2435603571,0.695
855,XS2435611244,1.509
856,XS2435614693,0.398
857,BE0002839208,0.8082
858,XS2434702424,
859,XS2434763483,2.177
860,XS2434412859,0.411
861,XS2434787235,1.261
862,XS2434791690,0.942
863,XS2432544349,1.074
864,FR0014007QT5,0.388
865,XS2433206740,0.943
866,XS2430387875,
867,XS2430287529,1.207
868,XS2412556461,
869,XS2433361719,1.061
870,DE000A3T0X97,0.318
871,XS2433226854,1.271
872,FR0014007NF1,1.057
873,IT0005481046,0.466
874,FR0014007QS7,0.053
875,XS2430287362,2.085
876,DE000HCB0BH9,0.075
877,IT0005481038,0.783
878,XS2433211310,0.829
879,XS2433126807,0.086
880,XS2432567555,
881,XS2433141947,1.646
882,XS2433135543,1.589
883,XS2433240764,0.598
884,XS2431318802,1.742
885,XS2432565005,1.105
886,DE000AAR0322,0.874
887,XS2431318711,0.669
888,XS2431319107,2.137
889,FR0014007Q96,0.828
890,FR0014007PX9,0.392
891,FR0014007PY7,0.667
892,XS2432565187,2.041
893,XS2432293913,1.306
894,DE000A3MQNQ2,1.576
895,BE6332786449,1.686
896,FR0014007PV3,0.74
897,XS2432530637,0.586
898,FR0014007PW1,1.176
899,BE6332787454,2.322
900,DE000A3MQNP4,1.017
901,XS2431320378,1.0
902,XS2432293673,0.295
903,XS2432502008,0.514
904,XS2432293756,1.027
905,DE000A3MQNN9,0.518
906,XS2430285077,0.064
907,FR0014007MK3,1.146
908,FR0014007LP4,0.848
909,DE000CZ45WY7,0.315
910,XS2430284930,0.44
911,XS2430970884,0.832
912,XS2430998893,
913,FR0014007LL3,0.63
914,FR0014007LM1,1.116
915,AT0000A2UXN9,0.052
916,FR0014007LK5,0.998
917,AT0000A2UXM1,0.078
918,DE000AAR0314,0.195
919,XS2421195848,0.766
920,XS2421186268,-0.004
921,FR0014006ZC4,0.735
922,XS2421006201,0.427
923,XS2411311652,0.399
924,XS2411311579,0.082
925,XS2418730995,0.165
926,FR0014006WB3,0.243
927,FR0014006TQ7,1.802
928,FR0014006XE5,0.068
929,BE0002832138,0.349
930,XS2414830963,0.931
931,XS2416413339,0.452
932,ES0380907040,1.015
933,FR0014006NI7,0.619
934,XS2415386726,0.738
935,FR0014006UI2,-0.115
936,XS2416563901,0.212
937,FR0014006UO0,1.198
938,XS2410368042,0.875
939,XS2411720233,0.467
940,XS2412044641,1.077
941,XS2412732708,1.888
942,XS2412044567,0.528
943,XS2412105533,-0.087
944,XS2412258522,0.987
945,XS2411726438,0.851
946,XS2411166973,0.897
947,XS2411638575,0.237
948,BE0002831122,0.696
949,XS2407969885,
950,XS2409134371,0.316
951,DE000MHB27J7,0.033
952,BE0002830116,0.903
953,XS2407955827,0.501
954,XS2406578059,0.04
955,XS2407985220,0.067
956,FR0014006IV0,0.176
957,XS2406890066,0.984
958,XS2407357768,0.176
959,XS2407027031,1.845
960,FR0014006G24,1.109
961,XS2406913884,-0.117
962,XS2406915236,0.934
963,XS2406549464,
964,XS2406914346,0.318
965,XS2407010656,0.702
966,XS2405875480,0.338
967,XS2406010285,0.282
968,FR0014006FE2,0.52
969,XS2402009539,-0.089
970,FR0014006F01,
971,BE6331562817,0.992
972,XS2402178300,0.755
973,CH1142231690,0.882
974,FR0014006CS9,0.528
975,XS2404591161,0.095
976,XS2404629235,0.175
977,CH1142231682,0.358
978,XS2404651163,1.019
979,XS2402178565,1.092
980,DE000HCB0BC0,0.116
981,FR0014006C10,1.039
982,XS2404214020,0.927
983,XS2404213485,0.366
984,XS2404027935,0.253
985,XS2403444677,0.55
986,XS2403533263,1.071
987,DE000BLB6JL6,0.141
988,IT0005461626,0.676
989,XS2402064559,0.095
990,FR00140067I3,0.118
991,DE000A3T0X22,0.312
992,XS2388377827,0.258
993,FR0014005ZP8,0.552
994,DE000LB2V833,0.498
995,XS2400997131,0.096
996,XS2401439174,0.015
997,FR00140065E6,0.946
998,XS2398807383,
999,XS2395267052,0.277
1000,XS2400445289,0.541
1001,DK0004133139,
1002,DK0004132677,0.17481
1003,FR0014005ZQ6,1.124
1004,FR00140060E7,0.622
1005,XS2399154181,0.954
1006,FR0014006268,0.616
1007,XS2393768788,0.048
1008,FR0014006276,-0.023
1009,XS2399933386,1.077
1010,XS2398745849,0.163
1011,XS2398745922,1.007
1012,XS2398746144,1.659
1013,DE000BHY0H34,0.133
1014,XS2397372850,-0.142
1015,XS2397367421,
1016,DE000CZ45WU5,0.099
1017,XS2397252102,1.043
1018,ES0243307016,
1019,XS2397077426,0.159
1020,XS2397252011,1.641
1021,XS2397239000,0.254
1022,XS2396616455,0.051
1023,XS2397352233,-0.181
1024,XS2393539593,0.763
1025,DE000A1KRJV6,0.074
1026,XS2388941077,0.416
1027,FR0014005SR9,1.848
1028,XS2394063437,0.537
1029,XS2393701284,0.512
1030,FR0014005OK3,0.395
1031,XS2393661397,-0.158
1032,XS2393762070,0.334
1033,XS2393701953,1.036
1034,BE6331175826,0.572
1035,FR0014005SC1,0.343
1036,XS2391348740,0.095
1037,XS2393518910,0.027
1038,XS2393236000,0.405
1039,XS2391430837,0.893
1040,XS2393236695,0.948
1041,XS2393080077,0.319
1042,XS2391570418,0.048
1043,FR0014005OL1,0.083
1044,XS2390837495,-0.198
1045,AT0000A2T487,0.016
1046,FR0014005N34,0.084
1047,XS2392593161,0.365
1048,FR0014005MV4,0.521
1049,XS2390506546,
1050,AT0000A2T4M8,-0.082
1051,XS2390400633,0.064
1052,XS2391343196,-0.115
1053,XS2390400716,0.388
1054,XS2391406530,0.365
1055,XS2390400807,0.915
1056,XS2390530330,0.64
1057,XS2390546849,1.566
1058,XS2389362687,-0.069
1059,IT0005459067,
1060,XS2389757944,0.286
1061,XS2388084480,
1062,BE0002818996,1.117
1063,DE000A3E5VX4,0.735
1064,XS2388390689,0.44
1065,DE000NLB3UX1,-0.305
1066,XS2388876232,
1067,XS2388390507,-0.067
1068,XS2388182573,0.519
1069,XS2360041474,0.591
1070,XS2388183381,1.012
1071,PTCGDCOM0037,
1072,XS2386592567,0.509
1073,DE000HCB0A86,
1074,XS2386592484,0.22
1075,XS2388449758,0.529
1076,XS2387735470,0.955
1077,XS2384373341,1.841
1078,FR0014005H24,0.113
1079,XS2385390724,0.659
1080,XS2385389551,0.182
1081,XS2384274440,0.421
1082,XS2384734542,0.265
1083,XS2387052744,0.935
1084,XS2387060259,
1085,XS2386877133,0.33
1086,XS2386650274,0.901
1087,CH1130818847,0.553
1088,XS2386592138,-0.027
1089,XS2386592302,0.424
1090,AT0000A2SUL3,-0.132
1091,XS1419674525,1.554
1092,DE000AAR0306,-0.171
1093,XS2385790667,0.313
1094,XS2386287762,-0.233
1095,AT0000A2SUH1,0.351
1096,XS2386287689,0.75
1097,XS2385393587,2.106
1098,XS2385393405,1.192
1099,FR0014005E35,-0.174
1100,XS2383811424,1.847
1101,AT0000A2STT8,-0.188
1102,XS2384697830,0.57
1103,XS2384413311,0.366
1104,BE6330288687,0.763
1105,XS2383886947,0.107
1106,XS2381560411,0.294
1107,XS2384580218,
1108,XS2382953789,0.457
1109,ES0265936023,0.521
1110,XS2379637767,
1111,XS2384274366,0.682
1112,XS2384269366,0.887
1113,XS2384273715,0.604
1114,XS2384269101,0.316
1115,XS2382849888,
1116,DE000A3MP4S3,0.241
1117,DE000A3MP4U9,0.366
1118,DE000A3MP4V7,0.802
1119,XS2345317510,0.091
1120,DE000A3MP4T1,0.065
1121,DE000A3MP4W5,1.715
1122,XS2381873384,0.862
1123,XS2381362966,0.255
1124,XS2381853279,0.287
1125,XS2381599898,0.09
1126,XS2381853436,0.867
1127,DE000AAR0298,0.07
1128,DE000A3E5K73,-0.375
1129,DE000BHY0HZ2,-0.4
1130,XS2374595044,0.194
1131,XS2374594823,0.49
1132,XS2374595127,0.026
1133,XS2369906644,0.901
1134,FR0014004UE6,1.009
1135,DE000NWB0AN7,-0.052
1136,FR0014004R72,0.586
1137,FR0014004QX4,0.156
1138,FR0014004QI5,1.063
1139,XS2366741770,0.056
1140,DE000LB2V7C3,0.274
1141,XS2365097455,0.98
1142,FR0014004KP3,-0.16
1143,XS2364756036,0.023
1144,XS2363719050,
1145,XS2364001078,0.672
1146,XS2363203675,1.985
1147,DE000A3KPTG6,1.032
1148,DE000A289LU4,0.291
1149,XS2361047454,1.288
1150,XS2363117321,0.348
1151,EU000A1G0EL5,-0.317
1152,FR0014004I65,-0.23
1153,ES0239140033,0.916
1154,FR0014004EJ9,-0.107
1155,XS2291340433,0.822
1156,FR0014004GE5,0.266
1157,XS2360599281,0.03
1158,FR0014004FR9,0.587
1159,IT0005451759,0.039
1160,XS2360881549,0.831
1161,XS2361358539,
1162,XS2361358299,0.493
1163,XS2360589217,0.048
1164,XS2360310044,
1165,XS2358231798,0.758
1166,AT0000A2RZH2,0.174
1167,XS2354685575,0.361
1168,XS2357951164,1.144
1169,DE000A3E5VK1,0.802
1170,FR0014004A06,0.822
1171,FR00140049Z5,-0.004
1172,FR00140049N1,0.136
1173,XS2358287238,0.05
1174,FR00140049A8,0.994
1175,XS2358724123,0.207
1176,XS2358471246,0.524
1177,DE000A3E5QW6,0.303
1178,XS2357417257,
1179,FR0014004750,0.287
1180,XS2349343090,0.773
1181,XS2355632741,1.421
1182,XS2357205587,0.398
1183,FR00140044X1,0.792
1184,AT0000A2RY95,0.144
1185,XS2356076625,1.216
1186,ES0239140025,0.884
1187,XS2356029541,0.587
1188,XS2356030556,1.341
1189,XS2356049069,0.404
1190,XS2356040357,0.764
1191,XS2356041165,1.362
1192,XS2355599197,0.204
1193,XS2353478063,0.616
1194,XS2354444379,1.145
1195,XS2354569407,0.583
1196,XS2352405216,0.499
1197,XS2354444023,0.11
1198,XS2354246816,0.497
1199,XS2353366268,0.951
1200,XS2353182020,0.183
1201,XS2353182293,0.531
1202,XS2353182376,1.015
1203,FI4000466412,-0.274
1204,BE0002803840,0.345
1205,FR0014003Z81,0.107
1206,XS2344735811,0.396
1207,XS2353312254,0.161
1208,DE000A3KSGM5,-0.033
1209,XS2348408514,1.041
1210,XS2350632472,0.284
1211,XS2350621863,-0.054
1212,XS2350746215,0.668
1213,XS2350744434,0.992
1214,XS2351220814,0.766
1215,XS2351092478,0.655
1216,XS2351089508,0.056
1217,DE000A3E5L98,0.299
1218,BE6328785207,0.418
1219,XS2348030425,0.21
1220,XS2348030268,-0.222
1221,XS2348325650,1.151
1222,XS2348325494,0.584
1223,XS2348324414,0.007
1224,XS2348325221,0.147
1225,FR0014003S72,1.057
1226,XS2346124410,0.488
1227,FR0014003SA0,0.684
1228,XS2348638433,1.057
1229,FR0014003Q41,0.033
1230,XS2348237871,1.563
1231,AT0000A2RK00,0.575
1232,FR0014003RH7,0.152
1233,BE0002799808,0.792
1234,XS2347367018,1.471
1235,XS2344569038,0.951
1236,XS2346973741,1.593
1237,XS2346986990,0.19
1238,XS2340538680,0.919
1239,FR0014003N69,0.461
1240,XS2345996743,1.066
1241,XS2344385815,0.98
1242,XS2345845882,0.124
1243,XS2346253730,
1244,XS2346206902,0.489
1245,XS2346208197,1.307
1246,DE000SLB4238,0.215
1247,XS2346207892,0.885
1248,AT000B093547,0.614
1249,XS2345982362,0.296
1250,FR0014003MI6,1.442
1251,XS2345315142,1.452
1252,FR0014003MJ4,0.778
1253,XS2343850033,0.999
1254,XS2343563214,0.338
1255,XS2343822503,0.72
1256,XS2343510520,0.554
1257,XS2343821794,0.057
1258,XS2343822842,0.401
1259,XS2343540519,0.625
1260,XS2342706996,0.11
1261,AT0000A2RAA0,0.236
1262,DK0030485271,0.147
1263,FR0014003GX7,1.066
1264,XS2342589582,
1265,DK0030486592,1.6
1266,XS2342227837,1.045
1267,DK0030486402,0.755
1268,XS2342058117,0.809
1269,XS2341269970,1.21
1270,XS2341719503,-0.115
1271,XS2340854848,0.122
1272,FR0014003BW0,0.099
1273,DE000A14J0M9,0.133
1274,XS2338955805,0.195
1275,DE000LB2V5T1,0.469
1276,XS2338561348,0.572
1277,DE000MHB28J5,0.325
1278,EU000A1Z99P9,0.029
1279,DE000BLB6JK8,0.055
1280,XS2338355014,1.01
1281,XS2337335710,-0.033
1282,XS2332552541,1.652
1283,XS2332689764,0.773
1284,XS2332689418,0.146
1285,XS2332689681,0.49
1286,US31428XCB01,
1287,DE000A3E5S00,0.77
1288,US31428XCC83,
1289,FR00140033E4,-0.065
1290,XS2331921390,1.59
1291,XS2333391303,-0.04
1292,XS2333391485,0.859
1293,XS2333649759,0.152
1294,XS2333658073,-0.224
1295,XS2333297625,0.741
1296,FR0014003182,0.482
1297,DE000BHY0SL9,0.411
1298,DE000A3H2TQ6,-0.107
1299,XS2328980979,-0.01
1300,XS2328981431,0.336
1301,XS2332687040,1.854
1302,XS2332592760,0.147
1303,XS2332186001,0.505
1304,XS2332179725,0.08
1305,XS2331271242,0.736
1306,XS2331315635,0.509
1307,XS2329143510,0.184
1308,XS2331216577,0.199
1309,FR0014002X50,-0.102
1310,BE6327721237,1.564
1311,XS2328418186,0.756
1312,XS2329144591,0.843
1313,XS2328625723,-0.283
1314,XS2328823104,1.247
1315,FR0014002S57,0.062
1316,DE000A3H25Q2,1.425
1317,DE000A3H25P4,0.645
1318,XS2327299298,0.295
1319,XS2327298217,-0.021
1320,XS2327299884,0.842
1321,XS2324724645,1.925
1322,XS2327420977,0.656
1323,FR0014002QG3,1.698
1324,XS2326546350,0.538
1325,XS2326546434,0.029
1326,FR0014002O10,2.125
1327,XS2324722607,1.034
1328,XS2325743990,1.38
1329,XS2323295563,0.046
1330,FR0014002PC4,1.673
1331,XS2322438990,0.895
1332,FR0014002NR7,0.009
1333,XS2324836878,0.256
1334,XS2325733413,0.709
1335,FI4000496468,1.122
1336,XS2324772453,0.449
1337,AT0000A2QL75,1.052
1338,XS2324321285,
1339,XS2324321368,0.074
1340,XS2324405203,-0.093
1341,FI4000496286,0.9
1342,FR0014002KP7,1.534
1343,DE000A3E5FR9,0.65
1344,FI4000496344,0.097
1345,DE000A3KNP88,0.239
1346,SK4000018693,-0.225
1347,DE000A3KNP96,0.807
1348,DE000A3KNQA0,1.324
1349,DE000BHY0GE9,-0.252
1350,XS2320789014,0.149
1351,XS2320539765,0.416
1352,XS2320747285,0.302
1353,XS2322289385,
1354,XS2322253944,0.754
1355,XS2314267449,0.795
1356,DE000A3H3JU7,0.943
1357,XS2310797696,1.125
1358,XS2320453884,0.609
1359,XS2320459063,1.832
1360,XS2321526480,0.546
1361,AT000B122080,0.987
1362,XS2320438653,0.673
1363,FI4000490602,0.752
1364,XS2317288301,0.417
1365,FR0014002G36,0.818
1366,FR0014002G44,0.28
1367,XS2314657409,0.785
1368,FR0014002FB7,0.034
1369,IT0005437733,0.238
1370,FR0014002FC5,0.433
1371,DE000CB0HRY3,0.112
1372,DE000A3H3JM4,0.815
1373,XS2310411090,1.794
1374,AT0000A2QDQ2,0.045
1375,FR0014002BJ9,0.913
1376,XS2311407352,
1377,XS2312722916,0.309
1378,XS2312584779,0.048
1379,XS2312723138,0.831
1380,XS2308321962,0.106
1381,XS2308322002,0.512
1382,XS2312723302,1.425
1383,DE000MHB64E1,0.444
1384,DE000HCB0AZ3,0.391
1385,FR0014002C30,0.122
1386,XS2307864020,1.041
1387,XS2307863642,0.247
1388,XS2307863998,0.583
1389,XS2308586911,0.233
1390,XS2304340263,
1391,XS2308298962,0.473
1392,AT000B066907,0.282
1393,XS2304340693,
1394,XS2308616841,0.519
1395,XS2307853098,
1396,XS2307764311,1.364
1397,XS2307764238,0.822
1398,NL00150008B6,
1399,XS2306988564,0.544
1400,XS2307768734,0.628
1401,XS2306986782,0.135
1402,FR00140027U2,
1403,XS2307573993,-0.041
1404,XS2303070911,0.397
1405,XS2306851853,0.627
1406,XS2306220190,0.046
1407,XS2306517876,
1408,XS2305600723,0.087
1409,CH0595205524,0.328
1410,CH0595205532,0.741
1411,DK0030484548,0.445
1412,XS2305244241,0.328
1413,DE000A3H2457,-0.192
1414,DE000A3H2465,0.194
1415,XS2303927227,0.373
1416,FR00140022B3,0.202
1417,XS2303089697,0.098
1418,XS2303052695,0.813
1419,XS2300292963,1.441
1420,XS2301127119,0.868
1421,XS2300292617,0.887
1422,XS2301390089,2.009
1423,XS2300293003,2.183
1424,XS2190256706,0.765
1425,FR0014001ZD3,0.138
1426,DE000A289LU4,0.291
1427,XS2190256706,0.765
1428,PTBCPHOM0066,
1429,XS2299002423,0.587
1430,XS2299001888,0.163
1431,XS2297882644,0.155
1432,XS2298304499,0.221
1433,FR0014001YB0,1.9
1434,FR0014001YE4,0.803
1435,DE000BLB6JJ0,0.216
1436,XS2296206068,1.028
1437,BE6326767397,-0.135
1438,XS2297549391,
1439,XS2296204444,0.537
1440,XS2297177664,0.289
1441,XS2294495838,2.937
1442,DE000A3H2TK9,-0.25
1443,DE000NWB0AL1,-0.229
1444,FR0014001QL5,-0.215
1445,DE000A3H2ZX9,0.1
1446,XS2292547317,0.579
1447,XS2292487076,0.434
1448,BE0002767482,0.232
1449,XS2292486771,-0.038
1450,DE000A287179,1.092
1451,XS2289870938,1.6
1452,AT0000A2N7F1,0.67
1453,XS2282707178,-0.17
1454,XS2291340433,0.822
1455,XS2291901994,-0.29
1456,DE000BHY0C47,-0.217
1457,XS2291788656,-0.128
1458,XS2290544068,
1459,FR0014001MO8,-0.297
1460,AT0000A2N837,0.323
1461,DE000A162BC2,-0.215
1462,FR0014001MN0,0.026
1463,DE000MHB27J7,0.033
1464,XS2289797248,0.905
1465,XS2289593670,-0.19
1466,DK0009404618,
1467,XS2289408440,0.163
1468,XS2288925568,1.011
1469,XS2287624584,0.192
1470,XS2286441964,0.181
1471,XS2281473111,0.119
1472,XS2289133915,0.347
1473,XS2288948859,0.141
1474,XS2289133758,0.862
1475,XS2286442186,0.663
1476,XS2283188683,0.971
1477,FR0014001I68,0.289
1478,FR0014001GV5,-0.188
1479,FR0014001IP3,0.635
1480,XS2286044370,0.089
1481,DE000LB2CW16,0.426
1482,FR0014001I50,-0.021
1483,FR0014001IM0,0.639
1484,FR0014001IO6,0.118
1485,XS2281343686,1.065
1486,XS2281343256,0.455
1487,XS2281343413,0.722
1488,XS2281342878,0.013
1489,XS2282195176,0.689
1490,DE000AAR0280,-0.402
1491,XS2282101539,0.393
1492,XS2282094494,0.274
1493,FR0014001EW8,0.135
1494,XS2282095970,0.572
1495,FR0014001G37,0.325
1496,XS2282093769,0.015
1497,FR0014001G29,0.032
1498,XS2282210231,0.211
1499,XS2280845491,-0.11
1500,XS2280845145,0.246
1501,XS2281155254,
1502,XS2275029085,0.348
1503,FR00140010J1,1.779
1504,FR0014000Y93,0.238
1505,XS2270406452,0.633
1506,XS2264193819,0.872
1507,DE000DFK0GB1,
1508,XS2270142966,0.642
1509,XS2268340010,0.034
1510,FR0014000UL9,0.633
1511,XS2265990452,0.348
1512,BE0002755362,0.258
1513,FR0014000UD6,1.401
1514,ES0305523005,-0.009
1515,XS2265360359,0.707
1516,XS2265801238,
1517,XS2265371042,0.378
1518,FR0014000UC8,0.747
1519,XS2265968284,0.016
1520,BE6325493268,0.957
1521,XS2264978623,-0.21
1522,XS2264712436,-0.1
1523,FR0014000T33,1.696
1524,FR0014000S75,0.364
1525,FR0013537305,0.024
1526,XS2264087110,0.066
1527,FI4000466412,-0.274
1528,FR0014000O87,
1529,FR0014000PF1,-0.059
1530,XS2262802601,-0.277
1531,XS2261215011,0.556
1532,XS2262798494,0.653
1533,XS2262065159,0.189
1534,XS2262065233,0.53
1535,DK0030467105,0.276
1536,XS2260183285,-0.179
1537,XS2159795124,-0.095
1538,XS2259776230,0.041
1539,DE000HCB0AY6,
1540,XS2259865926,-0.025
1541,XS2259867039,0.503
1542,XS2257961818,0.242
1543,XS2259193998,0.174
1544,AT0000A2KW37,0.159
1545,XS2258389415,0.13
1546,FR0014000KT3,0.902
1547,XS2257857834,-0.362
1548,ES0205032040,
1549,XS2251233651,1.143
1550,XS2244415175,1.601
1551,DE000MHB26J9,0.02
1552,XS2251330184,0.185
1553,XS2251626896,0.407
1554,CH0576402181,
1555,FR0014000D56,0.654
1556,FR0014000D49,0.289
1557,FR0014000D31,0.014
1558,FR0014000C81,0.863
1559,FR0014000C73,0.084
1560,ES0205045026,0.955
1561,DE000AAR0272,-0.43
1562,XS2234579675,0.303
1563,XS2250024010,0.471
1564,XS2248827771,1.181
1565,XS2247718435,1.311
1566,FR00140009U0,-0.024
1567,DE000A3H24G6,-0.267
1568,DE000A3H2TW4,0.482
1569,XS2242747348,0.541
1570,XS2242747181,0.155
1571,XS2247549731,1.83
1572,XS2242728041,0.266
1573,XS2243666125,
1574,XS2243983520,0.39
1575,BE6324720299,0.045
1576,FR00140004Q9,-0.027
1577,FR00140005J1,0.412
1578,XS2240511076,-0.043
1579,XS2242921711,0.549
1580,FR00140005C6,1.551
1581,FR00140005T0,0.215
1582,ES0239140017,1.402
1583,XS2243314528,-0.13
1584,BE6324664703,
1585,XS2238292010,-0.291
1586,XS2240494471,1.739
1587,FR00140003P3,0.118
1588,XS2241387096,0.693
1589,XS2241387252,0.214
1590,FR00140003A5,1.713
1591,FR0014000394,0.895
1592,DE000AAR0264,0.57
1593,XS2236283383,0.568
1594,XS2240505268,0.074
1595,XS2239553048,1.286
1596,XS2240507801,2.218
1597,XS2239067379,0.866
1598,XS2238342484,2.179
1599,XS2240063730,0.189
1600,XS2237434472,0.488
1601,XS2237447961,1.148
1602,XS2237901355,0.426
1603,XS2237321190,-0.367
1604,FR0013536950,-0.162
1605,DE000SLB4204,-0.15
1606,XS2148051621,-0.341
1607,XS2236363573,1.985
1608,XS2235996217,0.081
1609,XS2234567233,0.944
1610,DE000CB0HRQ9,
1611,XS2234567662,1.366
1612,XS2234711294,-0.267
1613,NL0015614611,0.081
1614,XS2237434803,3.279
